Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1435,47,aclnnIndexPutImpl_IndexPutV2_IndexPutV2,IndexPutV2,dynamic,AI_VECTOR_CORE,1774076408052858.000	,30.280,541.170000,40,0,NO,"""1,16,128,128;1,16,128,128;1;1;1""",FLOAT;FLOAT;INT64;INT64;INT64,NCHW;ND;ND;ND;ND,"""1,16,128,128""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342,286602,0.008,0.002,0.335,0.077,0.597,0.137,0.308,0.071,0.242,0.000
0,4294967295,1436,47,l2norm_fwd_kernel2_loop,l2norm_fwd_kernel2_loop,static,AI_VECTOR_CORE,1774076408071687.340	,7.960,18798.970000,40,0,YES,"""80,128""",DT_BF16,ND,"""80,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,289746,1.076,0.245,0.235,0.054,0.11,0.025,0.048,0.011,0.171,0.000
0,4294967295,1437,47,l2norm_fwd_kernel2_loop,l2norm_fwd_kernel2_loop,static,AI_VECTOR_CORE,1774076408072003.640	,3.140,308.540000,40,0,YES,"""80,128""",DT_BF16,ND,"""80,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.751,115572,1.072,0.612,0.658,0.376,0.009,0.005,0.011,0.006,0.0,0.000
0,4294967295,1438,47,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076408072344.560	,1.220,337.610000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,1230,0.028,0.037,0.274,0.367,0.186,0.25,0.119,0.16,0.2,0.000
0,4294967295,1439,47,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1774076408076740.180	,1.360,4394.530000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866,1429,0.028,0.032,0.273,0.316,0.195,0.225,0.121,0.139,0.206,0.000
0,4294967295,1440,47,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774076408076925.700	,1.340,184.140000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.796,1313,0.028,0.035,0.275,0.345,0.222,0.279,0.13,0.164,0.147,0.000
0,4294967295,1441,47,aclnnFloorDivides_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774076408105242.700	,1.240,28315.660000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715,1179,0.028,0.04,0.283,0.396,0.105,0.147,0.137,0.192,0.139,0.000
0,4294967295,1442,47,aclnnFloorDivides_FloorDivAiCpu_FloorDiv,FloorDiv,dynamic,AI_CPU,1774076408105629.540	,863.040,385.510000,0,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",INT64,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,1443,47,aclnnFloorDivides_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774076408106492.600	,1.640,0.000000,1,0,NO,"""1""",INT64,ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093,1804,0.07,0.064,0.346,0.317,0.179,0.164,0.141,0.129,0.152,0.000
0,4294967295,1444,47,chunk_local_cumsum_scalar_kernel,chunk_local_cumsum_scalar_kernel,static,AI_VECTOR_CORE,1774076408119365.640	,3.040,12871.610000,1,0,NO,"""1,5,16;2;1,2""",FLOAT;INT8;INT32,ND;ND;ND,"""1,5,16""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4125,1.167,0.467,0.95,0.38,0.136,0.054,0.19,0.076,0.031,0.000
0,4294967295,1445,47,aclnnInplaceCopy_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1774076408120670.660	,16.100,1301.960000,40,0,NO,"""5,16;2""",DT_BF16;INT64,NCL;ND,"""16,5""",DT_BF16,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.235,741516,0.036,0.003,1.51,0.134,2.848,0.253,0.016,0.001,0.26,0.000
0,4294967295,1446,47,aclnnInplaceCopy_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1774076408120892.720	,14.200,205.900000,40,0,NO,"""5,16;2""",FLOAT;INT64,NCL;ND,"""16,5""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.543,695815,0.04,0.004,1.115,0.106,1.632,0.155,0.033,0.003,0.291,0.000
