Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::resolve_neg,,,0.81,0.81,0,0,0,0
aten::lift_fresh,,,1.47,1.47,0,0,0,0
aten::unbind,,,3.6,12.75,0,0,0,0
aten::select,,,6.51,9.15,0,0,0,0
aten::as_strided,,,2.64,2.64,0,0,0,0
aten::item,,,2.24,3.95,0,0,0,0
aten::_local_scalar_dense,,,1.71,1.71,0,0,0,0
aten::empty,,,5.63,5.63,0,0,0,0
aten::to,,,1.21,1.21,0,0,0,0
aten::lift_fresh,,,0.92,0.92,0,0,0,0
aten::detach_,,,0.83,0.83,0,0,0,0
aten::full,,,8.04,63.41,0,2.12,0,0
empty_tensor,,,15.75,15.75,0,0,0,0
aten::fill_,,,19.45,39.62,0,2.12,0,0
aclnnInplaceFillScalar,,,20.17,20.17,2.12,2.12,0,0
aten::full,,,5.02,30.91,0,2.0,0,0
empty_tensor,,,9.46,9.46,0,0,0,0
aten::fill_,,,12.34,16.43,0,2.0,0,0
aclnnInplaceFillScalar,,,4.09,4.09,2.0,2.0,0,0
aten::slice,,,5.24,18.77,0,0,0,0
aten::as_strided,,,13.53,13.53,0,0,0,0
aten::copy_,,,170.65,207.44,0,0,0,0
aten::to,,,1.89,24.64,0,0,0,0
aten::_to_copy,,,5.0,22.75,0,0,0,0
aten::empty_strided,,,5.48,5.48,0,0,0,0
aten::copy_,,,12.27,12.27,0,0,0,0
aten::expand_as,,,2.08,7.16,0,0,0,0
aten::expand,,,2.53,5.08,0,0,0,0
aten::as_strided,,,2.55,2.55,0,0,0,0
acl_memcpy_host_to_device,,,4.99,4.99,0,0,0,0
aten::slice,,,5.08,10.54,0,0,0,0
aten::as_strided,,,5.46,5.46,0,0,0,0
aten::copy_,,,92.04,108.94,0,0,0,0
acl_memcpy_host_to_device,,,16.9,16.9,0,0,0,0
aten::slice,,,11.3,18.3,0,0,0,0
aten::as_strided,,,7.0,7.0,0,0,0,0
aten::slice,,,4.34,8.27,0,0,0,0
aten::as_strided,,,3.93,3.93,0,0,0,0
aten::slice,,,3.68,6.28,0,0,0,0
aten::as_strided,,,2.6,2.6,0,0,0,0
aten::fill_,,,22.61,43.84,0,0,0,0
aclnnInplaceFillScalar,,,21.23,21.23,0,0,0,0
aten::slice,,,4.86,7.99,0,0,0,0
aten::as_strided,,,3.13,3.13,0,0,0,0
aten::fill_,,,12.79,25.13,0,0,0,0
aclnnInplaceFillScalar,,,12.34,12.34,0,0,0,0
aten::slice,,,5.68,9.17,0,0,0,0
aten::as_strided,,,3.49,3.49,0,0,0,0
aten::slice,,,3.33,5.56,0,0,0,0
aten::as_strided,,,2.23,2.23,0,0,0,0
aten::sub,,,17.84,44.42,0,1.58,0,0
empty_tensor,,,13.37,13.37,0,0,0,0
aclnnSub,,,13.21,13.21,1.58,1.58,0,0
aten::sub,,,12.4,23.88,0,2.08,0,0
empty_tensor,,,8.32,8.32,0,0,0,0
aclnnSub,,,3.16,3.16,2.08,2.08,0,0
aten::slice,,,6.26,10.56,0,0,0,0
aten::as_strided,,,4.3,4.3,0,0,0,0
aten::slice,,,2.91,4.2,0,0,0,0
aten::as_strided,,,1.29,1.29,0,0,0,0
aten::sub,,,17.17,17.17,0,0,0,0
aten::select,,,4.56,6.08,0,0,0,0
aten::as_strided,,,1.52,1.52,0,0,0,0
aten::item,,,2.62,4.57,0,0,0,0
aten::_local_scalar_dense,,,1.95,1.95,0,0,0,0
aten::select,,,5.28,9.23,0,0,0,0
aten::as_strided,,,3.95,3.95,0,0,0,0
aten::gt,,,22.21,46.55,0,3.9399999999999995,0,0
empty_tensor,,,8.61,8.61,0,0,0,0
aclnnGtScalar,,,15.73,15.73,3.9399999999999995,3.9399999999999995,0,0
aten::diff,,,8.32,38.33,0,0,0,0
aten::narrow,,,6.55,12.56,0,0,0,0
aten::slice,,,3.05,6.01,0,0,0,0
aten::as_strided,,,2.96,2.96,0,0,0,0
aten::narrow,,,2.5,4.51,0,0,0,0
aten::slice,,,1.16,2.01,0,0,0,0
aten::as_strided,,,0.85,0.85,0,0,0,0
aten::sub,,,12.94,12.94,0,0,0,0
aten::neg,,,6.17,6.17,0,0,0,0
aten::floor_divide,,,12.46,35.54,0,0,0,0
aten::to,,,2.56,20.52,0,0,0,0
aten::_to_copy,,,5.97,17.96,0,0,0,0
aten::empty_strided,,,3.7,3.7,0,0,0,0
